gt_idx,gt_start,gt_end,gt_label,iou,is_correct,overlapping_preds
0,20.125,20.675,กู,0.5238095238095242,True,1
1,22.5,23.05,มึง,0.44444444444444503,False,1
2,23.375,23.925,กู,0.32432432432432484,False,1
3,26.125,26.675,กู,0.19444444444444517,False,2
4,32.875,33.3,เหี้ย,0.5454545454545431,True,1
5,73.5,74.05,กู,0.33333333333333,False,2
6,74.125,74.675,มึง,0.5454545454545431,True,1
7,81.0,81.55,เหี้ย,0.814814814814814,True,1
8,98.125,98.55,เหี้ย,0.6296296296296281,True,1
9,99.0,99.55,กู,0.5106382978723368,True,2
10,111.625,112.175,เหี้ย,0.0,False,0
11,150.75,151.175,กู,0.07407407407408967,False,1
12,151.375,151.8,มึง,0.0,False,0
13,152.0,152.55,เย็ด,0.32835820895522844,False,1
14,163.125,163.675,มึง,0.06250000000001332,False,1
15,185.25,185.8,เหี้ย,0.5454545454545549,True,1
16,233.75,234.3,เหี้ย,0.5454545454545549,True,1
17,250.375,251.175,เหี้ย,1.1250000000000266,True,3
18,390.25,390.8,กู,0.3243243243243326,False,1
19,391.25,391.675,กู,0.6296296296296359,True,1
20,393.875,394.425,มึง,0.0,False,0
21,396.875,397.3,มึง,0.0,False,0
22,400.875,401.3,มึง,0.0,False,0
23,402.5,403.05,มึง,0.0,False,0
24,430.0,430.425,มึง,0.0,False,0
25,452.875,453.3,เหี้ย,0.7727272727272774,True,1
26,458.625,459.05,เหี้ย,0.5454545454545549,True,1
27,464.625,465.175,เหี้ย,0.5454545454545549,True,1
28,475.625,476.05,เหี้ย,0.5454545454545549,True,1
29,509.0,509.55,มึง,0.0,False,0
30,513.375,513.925,มึง,0.0,False,0
31,515.125,515.675,มึง,0.0,False,0
32,517.375,517.925,เหี้ย,0.25925925925920934,False,1
33,518.0,518.425,มึง,0.0,False,0
34,525.125,525.55,มึง,0.0,False,0
35,526.625,527.05,มึง,0.0,False,0
36,528.875,529.425,มึง,0.0,False,0
37,529.875,530.3,มึง,0.0,False,0
38,531.25,531.8,มึง,0.25925925925920934,False,1
39,533.25,533.8,มึง,0.6486486486485822,True,2
40,535.5,536.05,มึง,0.0,False,0
41,537.125,537.55,มึง,0.07407407407401169,False,1
42,545.625,546.05,มึง,0.0,False,0
43,547.5,548.05,กู,0.5238095238095032,True,1
44,553.5,553.925,มึง,0.0,False,0
45,554.5,555.05,เหี้ย,0.0,False,0
46,556.5,556.925,กู,0.3653846153845582,False,2
47,557.25,557.675,กู,0.13461538461535436,False,1
48,558.25,558.8,กู,0.36111111111104444,False,3
49,563.375,563.925,กู,0.30645161290317613,False,2
50,564.75,565.175,เหี้ย,0.2812499999999023,False,2
51,565.0,565.3,มึง,0.0,False,0
52,578.25,578.8,เหี้ย,0.5454545454545079,True,1
53,587.875,588.3,มึง,0.0,False,0
54,590.125,590.675,มึง,0.0,False,0
55,592.125,592.55,กู,0.5135135135134404,True,2
56,600.5,600.925,มึง,0.705882352941145,True,1
57,608.75,609.3,มึง,0.0,False,0
58,609.5,610.05,มึง,0.0,False,0
59,613.25,613.675,มึง,0.8636363636362697,True,2
60,653.0,653.425,มึง,0.0,False,0
61,665.5,665.925,เหี้ย,0.0,False,0
62,666.75,667.3,เหี้ย,0.0,False,0
63,670.625,671.05,เหี้ย,0.705882352941145,True,1
64,724.125,724.675,เหี้ย,0.0,False,0
65,729.125,730.05,กู,0.788461538461461,True,3
66,731.875,732.3,เหี้ย,0.5312499999999734,True,1
67,804.5,804.925,มึง,0.31818181818176183,False,1
68,807.875,808.425,เหี้ย,0.5135135135134404,True,2
69,811.75,812.3,เย็ด,0.0,False,0
70,812.875,813.425,กู,0.4230769230769029,False,1
71,820.25,820.8,มึง,0.0,False,0
72,824.5,824.925,กู,0.2317073170731315,False,2
73,825.0,825.425,มึง,0.06249999999994671,False,1
74,826.125,826.55,มึง,0.31818181818176183,False,1
