window_size_s,tp_count,mean_delta_pp,median_delta_pp,p90_delta_pp
0.3,939,3.201356145248256,0.0,13.36574999999014
0.4,941,3.817095235848568,0.0,15.846913793083276
0.5,1037,4.087854258419167,0.0,16.71408478632789
0.6,1173,5.335113184862952,0.0,19.667502156945382
0.7,1197,5.319125702949432,0.6078660356168677,18.817868555906898
0.8,1200,4.644635081969223,0.6360484175887409,16.85605919620916
0.9,1227,4.484252069255331,1.317361297722472,17.111212931617043
1.0,1178,4.2677819991125645,1.5780022152266255,15.749722155691998
1.1,1142,4.301366245588098,1.819946608945995,15.885735729385392
1.2,1096,4.246214766131029,2.0649502515028733,16.868221533391214
1.3,1038,4.4964370702427505,2.1759706790894655,17.074101959302048
1.4,1089,3.937277639528827,2.3138983614951134,16.50718999312618
1.5,1094,4.179226336503513,2.6761401301735974,17.401041911610296
1.6,1097,3.3540545892086753,2.193359927652737,17.74420327238553
1.7,1037,3.598872679547573,1.8285228352204765,18.63201569671549
1.8,1046,3.732244950088656,2.33794685990085,18.824664832823785
1.9,1004,4.126809562736584,2.082013739973243,20.271362307751538
2.0,977,4.6714037531849035,2.5768125000015045,21.213685294117703
