file_path,start_time,end_time,label
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดเหี้ย.wav,0.989688,1.43318,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ทำไมมึงถึงทำอย่างนี้เนี่ย ดูดีๆ.wav,0.532094,0.746469,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พิ้งค์ด่าหนัง.wav,16.388164,16.557209,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav,13.279914,13.617272,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เย็ดแม่ นี่ไม่ใช่ครั้งแรกที่มึงทำแบบนี้นะ.wav,0.0,0.067542,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav,24.438127,24.518168,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อย่าทำเหมือนกูไม่มีตัวตนนะ เย็ดแม่.wav,1.460124,1.542007,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อาทโดนFBI.wav,23.638608,23.808862,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ป้าๆก๋วยเตี๋ยวถุงนึง.wav,16.789766,16.949802,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav,4.381112,4.63567,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ทายคำเย็ดแม่.wav,35.692788,35.782934,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\แปปนึง มึงใครเนี่ย มึงใคร มึงคือใคร.wav,5.443516,5.575385,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav,4.295146,4.381274,กู
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อาทโดนFBI.wav,57.291764,57.57473,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\โอ๊ยเย็ดเป็ดหีแม่มึงร่วง.wav,1.15297,1.307121,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กูว่านะ โปรเจคเราอะ แม่งสุดยอดวะ.wav,1.242198,1.312025,กู
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ชีสเหม็น.wav,7.831683,7.966568,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พิ้งค์ด่าหนัง.wav,16.298451,16.388164,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\โอ๊ย เย็ดแม่ เจ็บชิบหาย.wav,0.817853,0.955353,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\คอมโครตดี.wav,14.926504,15.010479,กู
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ขอโทษนะ แต่กูไม่ได้ตั้งใจจริงๆ.wav,0.368322,0.47552,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ชีสเหม็น.wav,11.138455,11.245529,กู
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ทายคำเย็ดแม่.wav,64.120833,64.192486,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\โต้งไล่หมา.wav,41.54307,41.720454,กู
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้อาร์ตพูดเหี้ย.wav,17.206158,17.395551,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\Janพูดถึงอาท.wav,88.286035,88.409314,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\คือมึงไม่ฉลาดหรอวะ.wav,5.382951,5.576495,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ.wav,2.222779,2.438565,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้.wav,1.570156,1.723893,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\หีหอมพ่อง.wav,1.40235,1.570019,มึง
