0.000000	20.333381	none
20.333268	20.429073	กู
20.429174	22.757007	none
22.757007	22.836244	มึง
22.836244	23.588872	none
23.588952	23.693493	กู
23.693493	26.331104	none
26.331104	26.430791	กู
26.430805	33.047886	none
33.047886	33.199628	เหี้ย
33.199628	35.707805	none
35.912658	38.063093	none
38.198565	38.310626	none
38.452522	73.734158	none
73.734201	73.795267	กู
73.795267	74.353244	none
74.353244	74.469129	มึง
74.469129	81.050803	none
81.050803	81.486834	เหี้ย
81.486834	98.230200	none
98.230894	98.383859	เหี้ย
98.383666	99.263753	none
99.263753	99.323238	กู
99.323167	111.802627	none
111.802627	111.995785	เหี้ย
111.995644	146.344623	none
146.495154	147.357061	none
150.917787	151.058754	กู
151.567484	151.667380	มึง
151.667480	152.239214	none
152.239442	152.356048	เย็ด
152.356048	163.318824	none
163.318824	163.452983	มึง
163.452757	185.493758	none
185.493758	185.569102	เหี้ย
185.569102	205.807468	none
205.984643	233.901757	none
233.901956	234.149153	เหี้ย
234.149153	250.457023	none
250.459551	250.719774	เหี้ย
250.719774	251.212670	เหี้ย
251.213902	251.904726	none
251.987431	377.630483	none
377.749411	390.442997	none
390.442997	390.566065	กู
390.566430	391.415775	none
391.415775	391.554751	กู
391.554751	394.134170	none
394.134194	394.199266	มึง
394.199266	397.015719	none
397.015719	397.114319	มึง
397.114757	401.002705	none
401.002705	401.121534	มึง
401.121534	402.687054	none
402.685803	402.815063	มึง
402.813989	430.135127	none
430.135127	430.275271	มึง
430.275271	452.903940	none
452.903940	453.234737	เหี้ย
453.236427	458.682639	none
458.686766	459.008668	เหี้ย
459.008723	464.816067	none
464.816067	464.951499	เหี้ย
464.951499	475.577013	none
475.581106	476.036344	เหี้ย
476.036445	509.241954	none
509.241952	509.339277	มึง
509.339078	513.617569	none
513.617569	513.691353	มึง
513.691715	515.319671	none
515.319671	515.454993	มึง
515.453975	517.563128	none
517.563128	517.703169	เหี้ย
517.703169	518.187935	none
518.187935	518.258267	มึง
518.257994	525.244417	none
525.244557	525.378380	มึง
525.379001	526.757032	none
526.756592	526.882811	มึง
526.881887	529.050420	none
529.050420	529.238988	มึง
529.237501	529.997856	none
529.997856	530.119512	มึง
530.119883	531.397345	none
531.398841	531.648311	มึง
531.648565	533.478706	none
533.479786	533.591834	มึง
533.591045	535.710915	none
535.710673	535.804459	มึง
535.804459	537.240854	none
537.240854	537.410778	มึง
537.410778	545.810454	none
545.810454	545.936284	มึง
545.936490	547.721495	none
547.720982	547.806659	กู
547.806870	553.638961	none
553.638961	553.736139	มึง
553.736083	554.729106	none
554.729163	554.869955	เหี้ย
554.869137	556.633825	none
556.633008	556.746990	กู
556.746356	557.463740	none
557.463160	557.522838	กู
557.522707	558.508127	none
558.508045	558.549002	กู
558.549002	561.177123	none
561.285304	563.630125	none
563.630125	563.687762	กู
563.687762	564.888931	none
564.888931	565.005133	เหี้ย
565.005133	565.128141	มึง
565.128141	578.444391	none
578.444391	578.589707	เหี้ย
578.589735	588.041556	none
588.041556	588.164565	มึง
588.164565	590.339629	none
590.340617	590.501882	มึง
590.501607	592.253253	none
592.253253	592.470812	กู
592.470812	600.668292	none
600.668629	600.829018	มึง
600.829018	603.308083	none
609.000382	609.073990	มึง
609.712548	609.794550	มึง
613.419926	613.517640	มึง
653.168502	653.302061	มึง
665.681810	665.798472	เหี้ย
666.987188	667.081307	เหี้ย
670.684904	670.978038	เหี้ย
724.323563	724.452612	เหี้ย
729.294579	729.354724	กู
729.819817	729.877107	กู
731.950656	732.156887	เหี้ย
804.672483	804.803786	มึง
808.109852	808.225243	เหี้ย
811.995369	812.061021	เย็ด
813.065642	813.212459	กู
820.487649	820.600585	มึง
824.641056	824.729441	กู
825.192174	825.296762	มึง
826.258600	826.356314	มึง
826.801044	826.845714	กู
857.558741	857.743722	มึง
858.202414	858.262810	กู
860.288098	860.487803	เหี้ย
861.033525	861.155742	มึง
868.892179	868.975509	กู
871.858363	872.088432	มึง
874.196434	874.262231	มึง
878.845873	879.022595	มึง
883.330460	883.399002	มึง
895.583998	895.792101	เหี้ย
917.822094	918.126248	เหี้ย
926.062676	926.121070	กู
926.618580	926.722520	มึง
968.868680	968.995063	มึง
969.668184	969.732764	กู
973.585812	973.751065	กู
983.589043	983.710327	มึง
985.589448	985.716745	มึง
988.907593	989.077489	มึง
991.838474	991.937081	เหี้ย
1001.347021	1001.405699	กู
1013.980815	1014.247088	เหี้ย
1017.151567	1017.282368	มึง
1019.501843	1019.681002	มึง
1021.308714	1021.496207	เหี้ย
1021.628146	1021.861470	เหี้ย
1055.739439	1056.095925	เหี้ย
1063.637166	1063.742717	เหี้ย
1065.715189	1065.791989	เหี้ย
1080.714300	1080.795547	กู
1081.315316	1081.453505	กู
1103.257582	1103.337128	กู
1105.728802	1105.802298	กู
