2025-08-07 22:44:43,839 INFO    MainThread:21160 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-08-07 22:44:43,840 INFO    MainThread:21160 [wandb_setup.py:_flush():81] Configure stats pid to 21160
2025-08-07 22:44:43,840 INFO    MainThread:21160 [wandb_setup.py:_flush():81] Loading settings from C:\Users\muldi\.config\wandb\settings
2025-08-07 22:44:43,840 INFO    MainThread:21160 [wandb_setup.py:_flush():81] Loading settings from C:\Users\muldi\Documents\Playground\University\senior-project-1\wandb\settings
2025-08-07 22:44:43,840 INFO    MainThread:21160 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-08-07 22:44:43,844 INFO    MainThread:21160 [wandb_init.py:setup_run_log_directory():703] Logging user logs to C:\Users\muldi\Documents\Playground\University\senior-project-1\wandb\run-20250807_224443-356ua3v6\logs\debug.log
2025-08-07 22:44:43,846 INFO    MainThread:21160 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to C:\Users\muldi\Documents\Playground\University\senior-project-1\wandb\run-20250807_224443-356ua3v6\logs\debug-internal.log
2025-08-07 22:44:43,846 INFO    MainThread:21160 [wandb_init.py:init():831] calling init triggers
2025-08-07 22:44:43,846 INFO    MainThread:21160 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-08-07 22:44:43,847 INFO    MainThread:21160 [wandb_init.py:init():872] starting backend
2025-08-07 22:44:44,096 INFO    MainThread:21160 [wandb_init.py:init():875] sending inform_init request
2025-08-07 22:44:44,125 INFO    MainThread:21160 [wandb_init.py:init():883] backend started and connected
2025-08-07 22:44:44,127 INFO    MainThread:21160 [wandb_init.py:init():956] updated telemetry
2025-08-07 22:44:44,193 INFO    MainThread:21160 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-08-07 22:44:44,917 INFO    MainThread:21160 [wandb_init.py:init():1032] starting run threads in backend
2025-08-07 22:44:45,173 INFO    MainThread:21160 [wandb_run.py:_console_start():2453] atexit reg
2025-08-07 22:44:45,173 INFO    MainThread:21160 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-08-07 22:44:45,174 INFO    MainThread:21160 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-08-07 22:44:45,174 INFO    MainThread:21160 [wandb_run.py:_redirect():2393] Redirects installed.
2025-08-07 22:44:45,179 INFO    MainThread:21160 [wandb_init.py:init():1078] run started, returning control to user process
