window,stride,accuracy,precision,recall,f1,balanced_accuracy,simple_accuracy
0.3,0.15,0.07070768298227004,0.01143193101646198,0.4691689008042895,0.02232000510171545,0.2653,0.0715
0.3,0.2,0.0703030303030303,0.011658763649019011,0.47942754919499103,0.022763951414252952,0.2701,0.0711
0.3,0.25,0.06962536605069171,0.01141552511415525,0.4656319290465632,0.022284713747546026,0.263,0.0704
0.3,0.3,0.06898849182313749,0.01108430592684358,0.45454545454545453,0.02164088854942397,0.2573,0.0698
0.4,0.2,0.10372040586245772,0.015053181900126195,0.45135135135135135,0.029134682484298673,0.2722,0.1052
0.4,0.25,0.10543789929070879,0.015071122149469407,0.4442595673876872,0.029153245618824042,0.2696,0.107
0.4,0.3,0.10387334582149979,0.015008112493239589,0.4605809128630705,0.029069006154249052,0.2769,0.1053
0.4,0.35,0.10638297872340426,0.015951986101239834,0.4752941176470588,0.0308679706601467,0.2851,0.1079
0.4,0.4,0.10337892196299275,0.014774774774774775,0.43967828418230565,0.028588860803625903,0.2663,0.1049
0.5,0.25,0.1501756146512795,0.018711018711018712,0.430327868852459,0.035862697102521775,0.2849,0.1529
0.5,0.3,0.14928610157238387,0.01907609082496975,0.4407894736842105,0.03656955720815992,0.2895,0.1518
0.5,0.35,0.15197525657247293,0.019643748959547194,0.4521072796934866,0.037651563497128275,0.2963,0.1545
0.5,0.4,0.1486117798106243,0.019505728624183316,0.44685466377440347,0.037379785882779896,0.292,0.1512
0.5,0.45,0.14703757225433525,0.019566142067205444,0.45098039215686275,0.03750509580105993,0.2932,0.1495
0.5,0.5,0.14735364875701684,0.018461538461538463,0.42391304347826086,0.03538217282830574,0.2803,0.15
0.6,0.3,0.18242471599447016,0.022337662337662337,0.41289437585733885,0.04238242748521544,0.2924,0.1859
0.6,0.35,0.18500070155745754,0.024075517450420022,0.4440894568690096,0.045674854185492476,0.3086,0.1885
0.6,0.4,0.18024,0.023498181103136367,0.4314079422382672,0.04456876456876457,0.3,0.184
0.6,0.45,0.18364587089794446,0.022256843979523704,0.42643923240938164,0.04230565838180857,0.2997,0.1871
0.6,0.5,0.1847445766270119,0.02194124209743399,0.4004524886877828,0.04160300857915149,0.2876,0.1886
0.6,0.55,0.18696322395948028,0.023081125375580443,0.4225,0.043771043771043766,0.2993,0.1906
0.6,0.6,0.1834553968063393,0.022551928783382788,0.41643835616438357,0.042786769880365935,0.2946,0.187
0.7,0.35,0.21215516034168883,0.02873769024171889,0.44337016574585636,0.05397679502270052,0.3216,0.2165
0.7,0.4,0.20576723380461698,0.027230237756553546,0.4207221350078493,0.05114991888538983,0.3075,0.2104
0.7,0.45,0.2074420276829049,0.026134800550206328,0.41454545454545455,0.049169721802889796,0.3056,0.212
0.7,0.5,0.21114106019766396,0.02761795166858458,0.42105263157894735,0.05183585313174945,0.3104,0.2159
0.7,0.55,0.20920272347902483,0.026795735129068462,0.4197802197802198,0.05037584069629434,0.309,0.2138
0.7,0.6,0.20675206512630193,0.025942316496261254,0.4116222760290557,0.048808498420901514,0.3039,0.2114
0.7,0.65,0.21284879948085658,0.026706726756801868,0.40609137055837563,0.05011746280344557,0.3043,0.2174
0.7,0.7,0.21043794599132504,0.028907922912205567,0.4462809917355372,0.05429864253393665,0.322,0.2146
0.8,0.4,0.23288654858784108,0.03139816668422716,0.41388888888888886,0.05836842620703163,0.3179,0.2384
0.8,0.45,0.23286688195191962,0.029910979228486647,0.3993660855784469,0.05565371024734982,0.3111,0.2385
0.8,0.5,0.23096851335193305,0.028910891089108912,0.3769363166953528,0.0537027954879843,0.2995,0.2366
0.8,0.55,0.2340891663928141,0.030927835051546393,0.4011299435028249,0.057427878134267994,0.3125,0.2398
0.8,0.6,0.22886523974650244,0.031245093421259224,0.41631799163179917,0.058127647144734916,0.3169,0.2343
0.8,0.65,0.22799067840497153,0.028829750938246333,0.38496583143507973,0.0536422790033328,0.3017,0.2334
0.8,0.7,0.23628750872295884,0.03148148148148148,0.41262135922330095,0.058499655884377146,0.3191,0.2416
0.8,0.75,0.22743521000893654,0.02716000787246605,0.3612565445026178,0.050521691378363535,0.2903,0.2335
0.8,0.8,0.2286123944559503,0.03060155103751834,0.4022038567493113,0.05687573042462018,0.3101,0.234
0.9,0.45,0.24885906040268457,0.03373377017352263,0.3921015514809591,0.06212290502793296,0.3156,0.2555
0.9,0.5,0.25004971167230067,0.03458524723047825,0.39203675344563554,0.06356300434512725,0.3161,0.2567
0.9,0.55,0.2529527559055118,0.034261879934455536,0.39792387543252594,0.06309148264984228,0.3205,0.2596
0.9,0.6,0.24982130092923516,0.03353312813866839,0.3847583643122677,0.061689763075547605,0.3127,0.2567
0.9,0.65,0.25316455696202533,0.03408087586085114,0.3821782178217822,0.0625810635538262,0.3132,0.2598
0.9,0.7,0.24572857341297402,0.03169811320754717,0.3605150214592275,0.0582726326742976,0.2991,0.2525
0.9,0.75,0.24475524475524477,0.03088413403310456,0.3574766355140187,0.056856187290969896,0.2973,0.2516
0.9,0.8,0.2494035310959122,0.03410317289013598,0.39303482587064675,0.06276067527308837,0.3163,0.2557
0.9,0.85,0.2511400101334234,0.03200552613400875,0.37669376693766937,0.058998302207130725,0.3097,0.2577
0.9,0.9,0.2529862720627563,0.03313840155945419,0.37988826815642457,0.060959211116091434,0.3121,0.2604
1.0,0.5,0.2615765989092712,0.03553229582702107,0.36752136752136755,0.06479969860605299,0.3106,0.2692
1.0,0.55,0.2694362664922037,0.03438219493476592,0.353870458135861,0.06267487409065473,0.3085,0.2773
1.0,0.6,0.2720675707827742,0.03729720689078441,0.38054607508532423,0.06793602437166793,0.3222,0.2799
1.0,0.65,0.2648043254376931,0.035778496943545485,0.36380255941499084,0.06514977901456866,0.3106,0.2727
1.0,0.7,0.27534018328242155,0.03822779847088806,0.3838582677165354,0.06953111071492243,0.3255,0.283
1.0,0.75,0.2642210010396554,0.036615639222176255,0.37341772151898733,0.06669178598342125,0.3147,0.2721
1.0,0.8,0.2661699429296132,0.03653675819309123,0.3724604966139955,0.06654567453115548,0.3153,0.2738
1.0,0.85,0.26863406408094437,0.03517469310670444,0.37343358395989973,0.06429341963322545,0.3173,0.2761
1.0,0.9,0.2764474624731951,0.037102473498233215,0.3858267716535433,0.06769514160718397,0.3271,0.2839
1.0,0.95,0.2753677857412297,0.03898170246618934,0.40273972602739727,0.07108317214700194,0.3343,0.2827
1.0,1.0,0.25918609245357566,0.03505888797589701,0.36056338028169016,0.06390414378432352,0.3061,0.2673
